G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,E,InnOuts,seasons,latestAge,weight,height,lastG,lastAB,lastR,lastH,last2B,last3B,lastHR,lastRBI,lastSB,lastCS,lastBB
119,434,55,110,23,1,13,59,5,3,34,7,3035,9,31,180,70,127,463,61,116,18,2,74,8,4,50
123,453,62,120,25,1,16,67,5,3,34,8,3142,10,32,180,70,158,623,118,206,37,3,141,5,5,40
125,467,64,124,26,1,16,71,5,3,36,7,3216,11,33,180,70,155,608,88,169,34,3,107,12,5,53
128,480,68,129,26,2,18,75,6,3,39,7,3292,12,34,180,70,159,622,111,183,35,5,117,16,3,68
130,489,68,131,27,1,18,75,6,3,40,8,3340,13,35,180,70,148,593,74,149,30,0,83,10,5,56
127,477,66,126,26,2,18,72,6,3,39,8,3267,14,36,180,70,88,326,33,72,15,3,37,4,2,28
28,71,7,16,3,0,1,8,0,0,10,1,579,5,30,205,73,82,230,23,53,10,2,28,1,0,36
36,91,9,21,4,0,3,12,0,0,13,1,753,6,31,205,73,77,190,20,43,10,0,29,0,0,27
39,100,10,23,5,0,3,13,0,0,13,1,807,7,32,205,73,57,151,17,34,7,0,25,0,0,17
42,107,12,25,6,0,4,14,0,0,13,2,854,8,33,205,73,62,163,23,42,13,0,18,0,0,11
43,113,13,27,6,0,4,16,0,0,13,2,884,9,34,205,73,59,160,27,45,12,0,32,0,0,19
44,115,14,27,6,0,4,16,0,0,13,2,888,10,35,205,73,50,136,16,31,7,0,18,2,0,14
47,122,13,28,6,0,4,17,0,0,14,2,930,11,36,205,73,73,183,13,35,7,0,25,0,0,15
47,121,13,28,6,0,4,17,0,0,13,2,926,12,37,205,73,48,114,9,23,3,0,16,0,0,11
48,98,13,27,4,1,1,7,0,1,9,3,690,3,24,220,74,115,246,36,75,12,4,20,1,3,22
72,167,22,45,8,1,5,19,1,1,16,5,1089,4,25,220,74,143,373,49,98,23,0,53,3,1,36
81,181,24,47,9,0,7,25,1,1,20,5,1204,5,26,220,74,121,240,33,55,12,0,50,0,0,38
82,183,24,47,10,0,7,25,0,1,18,5,1198,6,27,220,74,87,189,24,50,13,0,25,0,1,6
73,163,21,42,9,0,6,22,0,0,16,5,1065,7,28,220,74,20,45,2,9,5,0,3,0,0,5
75,177,22,47,10,0,6,24,0,0,18,6,1128,8,29,220,74,84,276,36,82,20,0,43,0,0,36
77,193,24,52,11,0,7,27,1,0,20,6,1245,9,30,220,74,97,323,40,92,22,4,46,4,1,31
79,208,26,55,12,0,7,28,0,0,21,7,1355,10,31,220,74,102,341,41,89,19,0,40,0,1,31
73,190,24,50,11,0,6,25,0,0,19,6,1232,11,32,220,74,6,10,0,0,0,0,0,0,0,0
45,137,14,32,6,0,4,12,0,0,11,0,841,3,26,195,72,107,341,36,83,15,0,31,0,2,29
58,180,23,45,7,0,8,19,0,1,22,1,1243,4,27,195,72,96,310,49,85,10,1,40,0,2,55
71,228,34,62,11,0,12,32,0,1,31,1,1619,5,28,195,72,126,419,80,130,28,0,82,1,1,69
76,245,36,65,11,0,13,35,0,0,37,2,1768,6,29,195,72,99,332,45,82,10,0,53,2,0,63
81,260,38,68,11,0,14,38,0,0,41,2,1889,7,30,195,72,114,352,53,88,15,1,58,1,0,67
87,279,41,73,11,0,15,43,0,0,43,3,2041,8,31,195,72,127,407,64,105,13,0,73,0,1,57
88,283,42,74,12,0,15,43,0,0,44,2,2067,9,32,195,72,99,320,45,83,15,0,49,1,0,51
89,282,41,73,12,0,15,44,0,0,43,2,2057,10,33,195,72,97,267,36,70,12,0,56,0,1,38
22,58,4,12,1,0,1,4,3,0,1,0,453,2,24,210,76,35,87,7,20,2,1,6,5,1,2
72,197,20,54,13,1,4,16,1,1,13,8,1393,2,27,205,75,103,333,33,95,22,2,27,3,2,22
98,300,32,79,18,1,7,29,2,1,20,9,2153,3,28,205,75,149,506,56,129,27,2,55,4,1,35
102,323,32,83,18,1,6,30,2,1,22,8,1614,4,29,205,75,116,394,34,96,21,0,34,3,2,27
40,113,10,29,5,1,0,9,2,1,6,7,934,2,26,200,74,7,20,2,8,0,1,3,0,0,0
28,76,6,19,3,1,0,6,1,0,4,5,622,3,27,200,74,4,3,0,0,0,0,0,0,0,1
29,71,7,18,3,1,0,6,1,0,4,4,562,4,28,200,74,32,58,8,14,3,1,7,0,0,6
24,58,5,14,2,0,0,5,1,0,3,3,449,5,29,200,74,3,3,0,0,0,0,0,0,0,0
28,64,6,16,3,0,0,6,1,0,3,2,489,6,30,200,74,52,94,13,26,5,1,11,2,0,4
27,60,6,14,2,0,0,5,1,0,3,2,461,7,31,200,74,18,38,4,4,0,0,4,0,0,4
72,275,25,79,9,2,0,16,2,5,18,9,1908,2,26,170,69,45,182,21,51,6,2,8,0,1,11
98,369,35,96,12,2,1,26,2,3,28,10,2577,3,27,170,69,152,556,55,132,17,4,45,3,0,50
76,280,26,73,9,2,1,20,1,2,21,7,1961,4,29,170,69,8,16,0,2,1,0,2,0,0,0
81,281,27,72,9,1,1,19,1,2,22,8,1967,5,30,170,69,102,284,33,69,10,1,18,0,0,25
71,243,24,62,8,1,1,16,1,1,19,7,1716,6,31,170,69,23,55,6,14,3,0,3,0,0,5
59,172,22,50,8,0,5,21,2,4,10,2,1204,3,28,185,70,149,488,63,142,23,1,62,5,11,30
70,219,27,60,10,0,6,24,2,4,12,2,1522,4,29,185,70,104,361,44,92,16,1,34,4,3,18
83,264,35,75,12,1,8,31,3,4,15,2,1803,5,30,185,70,134,445,69,135,20,7,59,7,4,29
95,320,45,93,15,2,11,40,3,4,20,2,2144,6,31,185,70,157,600,93,181,32,5,89,6,4,43
102,340,47,96,15,2,11,42,3,3,23,2,2299,7,32,185,70,143,458,57,119,17,4,55,2,0,43
